report_date,report_source,report_period,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_recovered,killed_succumbed,killed_truce_new,killed_committee
2023-10-29,mohtel,24,881,302.0,8005.0,302,8005,3324,2062,20242.0,638,20242,7,116.0,116,,16,,,,
2023-10-30,gmotel,24,908,304.0,8309.0,304,8309,3457,2136,21048.0,806,21048,18,124.0,124,35.0,35,,,,
2023-10-31,mohtel,24,926,216.0,8525.0,216,8525,3542,2187,21543.0,495,21543,18,130.0,130,,35,,,,
2023-11-01,mohtel,24,950,280.0,8805.0,280,8805,3650,2252,22240.0,697,22240,18,132.0,132,,35,,,,
2023-11-02,mohtel,24,965,256.0,9061.0,256,9061,3760,2326,22911.0,671,22911,18,134.0,134,,35,,,,
2023-11-03,mohtel,24,997,196.0,9257.0,196,9257,3826,2405,23516.0,605,23516,18,136.0,136,,35,,,,
2023-11-04,mohtel,24,1006,228.0,9485.0,228,9485,3900,2509,24158.0,642,24158,18,150.0,150,,35,,,,
2023-11-05,mohtel,24,1031,285.0,9770.0,285,9770,4008,2550,24808.0,650,24808,18,175.0,175,,35,,,,
2023-11-06,gmotel,24,1031,252.0,10022.0,252,10022,4108,2610,25000.0,192,25000,18,192.0,192,,35,,,,
2023-11-07,mohtel,24,1071,306.0,10328.0,306,10328,4237,2719,25956.0,956,25956,18,192.0,192,,35,,,,
2023-11-08,mohtel,24,1098,241.0,10569.0,241,10569,4324,2823,26475.0,519,26475,18,193.0,193,,35,,,,
2023-11-09,mohtel,24,1118,249.0,10818.0,249,10818,4412,2918,26905.0,430,26905,18,195.0,195,,35,,,,
2023-11-10,mohtel,24,1130,260.0,11078.0,260,11078,4506,3027,27490.0,585,27490,20,198.0,198,49.0,49,,,,
2023-11-11,missing,24,1130,,,51,11129,4540,3044,,355,27845,20,,198,49.0,49,,,,
2023-11-12,gmotel,24,1142,,11180.0,51,11180,4609,3100,28200.0,355,28200,20,198.0,198,49.0,49,,,,
2023-11-13,gmotel,24,1153,,11240.0,60,11240,4630,3130,29000.0,800,29000,21,198.0,198,51.0,51,,,,
2023-11-14,gmotel,24,1165,,11320.0,80,11320,4650,3145,29200.0,200,29200,22,198.0,198,51.0,51,,,,
2023-11-15,gmotel,24,1200,,11500.0,180,11500,4710,3160,29800.0,600,29800,22,200.0,200,51.0,51,,,,
2023-11-16,missing,24,1200,,,500,12000,5000,3300,,100,29900,22,,200,51.0,51,,,,
2023-11-17,gmotel,24,1270,,12000.0,0,12000,5000,3300,30000.0,100,30000,22,200.0,200,51.0,51,,,,
2023-11-18,gmotel,24,1300,,12300.0,300,12300,5000,3300,30000.0,0,30000,22,200.0,200,56.0,56,,,,
2023-11-19,gmotel,24,1330,,13000.0,700,13000,5500,3500,30000.0,0,30000,22,201.0,201,60.0,60,,,,
2023-11-20,gmotel,24,1340,,13300.0,300,13300,5600,3550,31000.0,1000,31000,22,201.0,201,60.0,60,,,,
2023-11-21,gmotel,24,1354,,14128.0,828,14128,5840,3920,33000.0,2000,33000,22,205.0,205,,60,,,,
2023-11-22,gmotel,24,1384,,14532.0,404,14532,6000,4000,35000.0,2000,35000,25,205.0,205,64.0,64,,,,
2023-11-23,gmotel,24,1400,,14800.0,268,14800,6150,4000,36000.0,1000,36000,26,207.0,207,65.0,65,,,,
2023-11-24,missing,24,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,,65,,,,
2023-11-25,missing,24,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,67.0,67,,,,
2023-11-26,missing,24,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,,67,,,,
2023-11-27,gmotel,24,1400,,14800.0,0,14800,6150,4000,36000.0,0,36000,26,207.0,207,70.0,70,,,,
2023-11-28,gmotel,24,1400,,14800.0,0,14800,6150,4000,36000.0,0,36000,26,207.0,207,70.0,70,,,,
2023-11-29,missing,24,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,70.0,70,,,,
2023-11-30,missing,24,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,70.0,70,,,,
2023-12-01,mohtel,24,1400,,14800.0,0,14800,6150,4000,37000.0,1000,37000,26,280.0,280,73.0,73,,,,
2023-12-02,mohtel,24,1450,407.0,15207.0,407,15207,6387,4257,40652.0,3652,40652,26,280.0,280,76.0,76,,,,
2023-12-03,mohtel,24,1473,316.0,15523.0,316,15523,6600,4300,41316.0,664,41316,26,281.0,281,77.0,77,,,,
2023-12-04,mohtel,24,1473,376.0,15899.0,376,15899,6800,4500,42000.0,684,42000,26,283.0,283,,77,,,,
2023-12-05,gmotel,24,1550,725.0,16248.0,349,16248,7112,4885,43616.0,1616,43616,32,286.0,286,81.0,81,,,,
2023-12-06,missing,24,1550,,,579,16827,7550,5000,,1192,44808,32,,286,,81,,,,
2023-12-07,mohtel,24,1576,350.0,17177.0,350,17177,7729,5153,46000.0,1192,46000,32,290.0,290,81.0,81,,,,
2023-12-08,mohtel,24,1576,313.0,17487.0,310,17487,7729,5246,46480.0,480,46480,32,,295,,81,,,,
2023-12-09,mohtel,24,1596,210.0,17700.0,213,17700,7870,6121,48780.0,2300,48780,32,295.0,295,,81,,,,
2023-12-10,mohtel,24,1617,297.0,17997.0,297,17997,7875,6130,49229.0,449,49229,32,296.0,296,,81,,,,
2023-12-11,mohtel,24,1636,208.0,18205.0,208,18205,7900,6150,49645.0,416,49645,32,,296,,81,,,,
2023-12-12,mohtel,24,1644,207.0,18412.0,207,18412,8000,6200,50100.0,455,50100,32,300.0,300,86.0,86,,,,
2023-12-13,mohtel,24,1660,196.0,18608.0,196,18608,8000,6200,50594.0,494,50594,32,300.0,300,,86,,,,
2023-12-14,mohtel,24,1678,179.0,18787.0,179,18787,8000,6200,50897.0,303,50897,32,300.0,300,,86,,,,
2023-12-15,gmotel,24,1680,,18800.0,13,18800,8000,6200,51000.0,103,51000,32,300.0,300,89.0,89,,,,
2023-12-16,missing,24,1680,,,217,19017,8000,6200,,200,51200,32,,300,,89,,,,
2023-12-17,missing,24,1680,,,218,19235,8000,6200,,543,51743,32,,300,,89,,,,
2023-12-18,mohtel,24,1696,151.0,19453.0,218,19453,8000,6200,52286.0,543,52286,32,300.0,300,96.0,96,,,,
2023-12-19,mohtel,24,1697,214.0,19667.0,214,19667,8000,6200,52586.0,300,52586,35,310.0,310,97.0,97,,,,
2023-12-20,mohtel,24,1697,,,130,19797,8000,6200,,245,52831,35,310.0,310,97.0,97,,,,
2023-12-21,mohtel,24,1697,,,130,19927,8000,6200,,244,53075,35,,310,,97,,,,
2023-12-22,mohtel,24,1697,390.0,20057.0,130,20057,8000,6200,53320.0,245,53320,35,,310,,97,,,,
2023-12-23,mohtel,24,1697,201.0,20258.0,201,20258,8200,6200,53688.0,368,53688,35,310.0,310,100.0,100,,,,
2023-12-24,mohtel,24,1697,166.0,20424.0,166,20424,8200,6200,54036.0,348,54036,35,,310,,97,,,,
2023-12-25,mohtel,24,1745,250.0,20674.0,250,20674,8500,6300,54536.0,500,54536,40,311.0,311,103.0,103,,,,
2023-12-26,mohtel,24,1763,241.0,20915.0,241,20915,8500,6300,54918.0,382,54918,40,,311,,103,,,,
2023-12-27,mohtel,24,1779,195.0,21110.0,195,21110,8800,6300,55243.0,325,55243,40,311.0,311,103.0,103,,,,
2023-12-28,mohtel,24,1799,210.0,21320.0,210,21320,8800,6300,55603.0,360,55603,40,,311,,103,,,,
2023-12-29,mohtel,24,1799,187.0,21507.0,187,21507,8800,6300,55915.0,312,55915,40,,311,,103,,,,
2023-12-30,mohtel,24,1813,165.0,21672.0,165,21672,9000,6450,56165.0,250,56165,40,312.0,312,106.0,106,,,,
2023-12-31,mohtel,24,1825,150.0,21822.0,150,21822,9100,6500,56451.0,286,56451,40,312.0,312,106.0,106,,,,
2024-01-01,mohtel,24,1838,156.0,21978.0,156,21978,9280,6600,56697.0,246,56697,40,326.0,326,106.0,106,,,,
2024-01-02,mohtel,24,1853,207.0,22185.0,207,22185,9280,6600,57035.0,338,57035,40,,326,,106,,,,
2024-01-03,mohtel,24,1863,128.0,22313.0,128,22313,9400,6700,57296.0,261,57296,40,,326,,106,,,,
2024-01-04,mohtel,24,1876,125.0,22438.0,125,22438,9730,6830,57614.0,318,57614,40,326.0,326,,106,,,,
2024-01-05,mohtel,24,1891,162.0,22600.0,162,22600,9730,6830,57910.0,296,57910,40,,326,,106,,,,
2024-01-06,mohtel,24,1903,122.0,22722.0,122,22722,10000,7000,58166.0,256,58166,40,,326,,106,,,,
2024-01-07,mohtel,24,1915,113.0,22835.0,113,22835,10000,7000,58416.0,250,58416,40,,326,,106,,,,
2024-01-08,mohtel,24,1932,249.0,23084.0,249,23084,10000,7000,58926.0,510,58926,40,,326,,106,,,,
2024-01-09,mohtel,24,1944,126.0,23210.0,126,23210,10000,7000,59167.0,241,59167,40,,326,,106,,,,
2024-01-10,mohtel,24,1958,147.0,23357.0,147,23357,10000,7000,59410.0,243,59410,40,,326,,106,,,,
2024-01-11,mohtel,24,1968,112.0,23469.0,112,23469,10300,7100,59604.0,194,59604,40,337.0,337,,106,,,,
2024-01-12,mohtel,24,1981,151.0,23708.0,239,23708,10300,7100,60005.0,401,60005,40,,337,,106,,,,
2024-01-13,mohtel,24,1993,135.0,23843.0,135,23843,10400,7100,60317.0,312,60317,45,337.0,337,117.0,117,,,,
2024-01-14,mohtel,24,2004,125.0,23968.0,125,23968,10600,7200,60582.0,265,60582,45,337.0,337,,117,,,,
2024-01-15,mohtel,24,2016,132.0,24100.0,132,24100,10600,7200,60834.0,252,60834,45,,337,118.0,118,,,,
2024-01-16,mohtel,24,2031,158.0,24285.0,185,24285,10600,7200,61154.0,320,61154,45,,337,,118,,,,
2024-01-17,mohtel,24,2031,163.0,24448.0,163,24448,10600,7200,61504.0,350,61504,45,,337,,118,,,,
2024-01-18,mohtel,24,2046,172.0,24620.0,172,24620,10800,7250,61830.0,326,61830,45,337.0,337,119.0,119,,,,
2024-01-19,mohtel,24,2058,142.0,24762.0,142,24762,10800,7250,62108.0,278,62108,45,,337,119.0,119,,,,
2024-01-20,mohtel,24,2072,165.0,24927.0,165,24927,10800,7250,62388.0,280,62388,45,,337,,119,,,,
2024-01-21,mohtel,24,2087,178.0,25105.0,178,25105,10800,7250,62681.0,293,62681,45,,337,,119,,,,
2024-01-22,mohtel,24,2119,190.0,25295.0,190,25295,11000,7500,63000.0,319,63000,45,337.0,337,119.0,119,,,,
2024-01-23,mohtel,24,2141,195.0,25490.0,195,25490,11000,7500,63354.0,354,63354,45,,337,,119,,,,
2024-01-24,mohtel,24,2165,210.0,25700.0,210,25700,11000,7500,63740.0,386,63740,45,,337,,119,,,,
2024-01-25,mohtel,24,2186,200.0,25900.0,200,25900,11000,7500,64110.0,370,64110,45,,337,,119,,,,
2024-01-26,mohtel,24,2205,183.0,26083.0,183,26083,11000,7500,64487.0,377,64487,45,,337,,119,,,,
2024-01-27,mohtel,24,2223,174.0,26257.0,174,26257,11000,7500,64797.0,310,64797,45,,337,120.0,120,,,,
2024-01-28,mohtel,24,2242,165.0,26422.0,165,26422,11000,7500,65087.0,290,65087,45,,337,,120,,,,
2024-01-29,mohtel,24,2256,215.0,26637.0,215,26637,11000,7500,65387.0,300,65387,45,,337,122.0,122,,,,
2024-01-30,mohtel,24,2269,114.0,26751.0,114,26751,11500,8000,65636.0,249,65636,46,339.0,339,122.0,122,,,,
2024-01-31,mohtel,24,2285,149.0,26900.0,149,26900,11500,8000,65949.0,313,65949,46,,339,,122,,,,
2024-02-01,mohtel,24,2300,119.0,27019.0,119,27019,11500,8000,66139.0,190,66139,46,,339,,122,,,,
2024-02-02,mohtel,24,2313,112.0,27131.0,112,27131,11500,8000,66287.0,148,66287,46,,339,,122,,,,
2024-02-03,mohtel,24,2325,107.0,27238.0,107,27238,12000,8190,66452.0,165,66452,46,339.0,339,122.0,122,,,,
2024-02-04,mohtel,24,2339,127.0,27365.0,127,27365,12000,8190,66630.0,178,66630,46,,339,,122,,,,
2024-02-05,mohtel,24,2352,113.0,27478.0,113,27478,12000,8190,66835.0,205,66835,46,,339,,122,,,,
2024-02-06,mohtel,24,2364,107.0,27585.0,107,27585,12000,8190,66978.0,143,66978,46,,339,,122,,,,
2024-02-07,mohtel,24,2380,123.0,27708.0,123,27708,12000,8190,67147.0,169,67147,46,,339,123.0,123,,,,
2024-02-08,mohtel,24,2395,132.0,27840.0,132,27840,12150,8300,67317.0,170,67317,46,340.0,340,124.0,124,,,,
2024-02-09,mohtel,24,2408,107.0,27947.0,107,27947,12150,8300,67459.0,142,67459,46,,340,,124,,,,
2024-02-10,mohtel,24,2424,117.0,28064.0,117,28064,12150,8300,67611.0,152,67611,46,,340,,124,,,,
2024-02-11,mohtel,24,2438,112.0,28176.0,112,28176,12300,8400,67784.0,173,67784,46,340.0,340,124.0,124,,,,
2024-02-12,mohtel,24,2457,164.0,28340.0,164,28340,12300,8400,67984.0,200,67984,46,,340,126.0,126,,,,
2024-02-13,mohtel,24,2473,133.0,28473.0,133,28473,12300,8400,68146.0,162,68146,46,,340,,126,,,,
2024-02-14,mohtel,24,2484,103.0,28576.0,103,28576,12300,8400,68291.0,145,68291,46,,340,,126,,,,
2024-02-15,mohtel,24,2493,87.0,28663.0,87,28663,12300,8400,68395.0,104,68395,46,,340,,126,,,,
2024-02-16,mohtel,24,2503,112.0,28775.0,112,28775,12660,8570,68552.0,157,68552,46,340.0,340,130.0,130,,,,
2024-02-17,mohtel,24,2512,83.0,28858.0,83,28858,12660,8570,68677.0,125,68677,46,340.0,340,130.0,130,,,,
2024-02-18,mohtel,24,2525,127.0,28985.0,127,28985,12660,8570,68883.0,206,68883,46,,340,,130,,,,
2024-02-19,mohtel,24,2534,107.0,29092.0,107,29092,12660,8570,69028.0,145,69028,46,,340,,130,,,,
2024-02-20,mohtel,24,2543,103.0,29195.0,103,29195,12660,8570,69170.0,142,69170,46,,340,,130,,,,
2024-02-21,mohtel,24,2554,118.0,29313.0,118,29313,12660,8570,69333.0,163,69333,46,,340,,130,,,,
2024-02-22,mohtel,24,2563,97.0,29410.0,97,29410,12660,8570,69465.0,132,69465,46,,340,,130,,,,
2024-02-23,mohtel,24,2573,104.0,29514.0,104,29514,13000,8800,69616.0,151,69616,47,340.0,340,132.0,132,,,,
2024-02-24,mohtel,24,2581,92.0,29606.0,92,29606,13000,8800,69737.0,121,69737,47,,340,,132,,,,
2024-02-25,mohtel,24,2589,86.0,29692.0,86,29692,13000,8800,69879.0,142,69879,47,,340,,132,,,,
2024-02-26,mohtel,24,2599,90.0,29782.0,90,29782,13000,8800,70043.0,164,70043,47,,340,,132,,,,
2024-02-27,mohtel,24,2610,96.0,29878.0,96,29878,13000,8800,70215.0,172,70215,47,,340,,132,,,,
2024-02-28,mohtel,24,2618,76.0,29954.0,76,29954,13000,8800,70325.0,110,70325,47,,340,,132,,,,
2024-02-29,mohtel,24,2627,81.0,30035.0,81,30035,13230,8860,70457.0,132,70457,47,340.0,340,132.0,132,,,,
2024-03-01,mohtel,24,2643,193.0,30228.0,193,30228,13230,8860,71377.0,920,71377,47,,340,,132,,,,
2024-03-02,mohtel,24,2653,92.0,30320.0,92,30320,13230,8860,71533.0,156,71533,47,,340,,132,,,,
2024-03-03,mohtel,24,2662,90.0,30410.0,90,30410,13230,8860,71710.0,177,71710,47,342.0,342,,132,,,,
2024-03-04,mohtel,24,2675,124.0,30534.0,124,30534,13430,8900,71920.0,210,71920,48,364.0,364,132.0,132,,,,
2024-03-05,mohtel,24,2685,97.0,30631.0,97,30631,13430,8900,72043.0,123,72043,48,,364,,132,,,,
2024-03-06,mohtel,24,2694,86.0,30717.0,86,30717,13430,8900,72156.0,113,72156,48,,364,133.0,133,,,,
2024-03-07,mohtel,24,2703,83.0,30800.0,83,30800,13430,8900,72298.0,142,72298,48,,364,,133,,,,
2024-03-08,mohtel,24,2711,78.0,30878.0,78,30878,13430,8900,72402.0,104,72402,48,,364,,133,,,,
2024-03-09,mohtel,24,2713,82.0,30960.0,82,30960,13500,9000,72524.0,122,72524,48,364.0,364,133.0,133,,,,
2024-03-10,mohtel,24,2721,85.0,31045.0,85,31045,13500,9000,72654.0,130,72654,48,,364,,133,,,,
2024-03-11,mohtel,24,2728,67.0,31112.0,67,31112,13500,9000,72760.0,106,72760,48,,364,,133,,,,
2024-03-12,mohtel,24,2736,72.0,31184.0,72,31184,13500,9000,72889.0,129,72889,48,,364,,133,,,,
2024-03-13,mohtel,24,2746,88.0,31272.0,88,31272,13500,9000,73024.0,135,73024,48,,364,,133,,,,
2024-03-14,mohtel,24,2761,69.0,31341.0,69,31341,13790,9100,73134.0,110,73134,48,364.0,364,133.0,133,,,,
2024-03-15,mohtel,24,2774,149.0,31490.0,149,31490,13790,9100,73434.0,300,73434,48,,364,,133,,,,
2024-03-16,mohtel,24,2781,63.0,31553.0,63,31553,13790,9100,73546.0,112,73546,48,,364,,133,,,,
2024-03-17,mohtel,24,2790,92.0,31645.0,92,31645,13790,9100,73676.0,130,73676,48,,364,,133,,,,
2024-03-18,mohtel,24,2798,81.0,31726.0,81,31726,13790,9100,73792.0,116,73792,48,,364,,133,,,,
2024-03-19,mohtel,24,2807,93.0,31819.0,93,31819,14000,9220,73934.0,142,73934,48,364.0,364,135.0,135,,,,
2024-03-20,mohtel,24,2817,104.0,31923.0,104,31923,14000,9220,74096.0,162,74096,48,,364,,135,,,,
2024-03-21,mohtel,24,2824,65.0,31988.0,65,31988,14000,9220,74188.0,92,74188,48,,364,,135,,,,
2024-03-22,mohtel,24,2833,82.0,32070.0,82,32070,14000,9220,74298.0,110,74298,48,,364,,135,,,,
2024-03-23,mohtel,24,2840,72.0,32142.0,72,32142,14000,9220,74412.0,114,74412,48,,364,,135,,,,
2024-03-24,mohtel,24,2848,84.0,32226.0,84,32226,14280,9340,74518.0,106,74518,48,364.0,364,136.0,136,,,,
2024-03-25,mohtel,24,2859,107.0,32333.0,107,32333,14280,9340,74694.0,176,74694,48,,364,,136,,,,
2024-03-26,mohtel,24,2867,81.0,32414.0,81,32414,14280,9340,74787.0,93,74787,48,,364,,136,,,,
2024-03-27,mohtel,24,2875,76.0,32490.0,76,32490,14280,9340,74889.0,102,74889,48,,364,,136,,,,
2024-03-28,mohtel,24,2881,62.0,32552.0,62,32552,14280,9340,74980.0,91,74980,48,,364,,136,,,,
2024-03-29,mohtel,24,2888,71.0,32623.0,71,32623,14350,9460,75092.0,112,75092,48,364.0,364,136.0,136,,,,
2024-03-30,mohtel,24,2896,82.0,32705.0,82,32705,14350,9460,75190.0,98,75190,48,,364,,136,,,,
2024-03-31,mohtel,24,2904,77.0,32782.0,77,32782,14350,9460,75298.0,108,75298,48,,364,137.0,137,,,,
2024-04-01,mohtel,24,2910,63.0,32845.0,63,32845,14350,9460,75392.0,94,75392,48,,364,138.0,138,,,,
2024-04-02,mohtel,24,2917,71.0,32916.0,71,32916,14350,9460,75494.0,102,75494,48,,364,,138,,,,
2024-04-03,mohtel,24,2922,59.0,32975.0,59,32975,14500,9560,75577.0,83,75577,65,484.0,484,140.0,140,,,,
2024-04-04,mohtel,24,2928,62.0,33037.0,62,33037,14500,9560,75668.0,91,75668,65,,484,,140,,,,
2024-04-05,mohtel,24,2933,54.0,33091.0,54,33091,14500,9560,75750.0,82,75750,65,,484,,140,,,,
2024-04-06,mohtel,24,2937,46.0,33137.0,46,33137,14500,9560,75815.0,65,75815,65,,484,,140,,,,
2024-04-07,mohtel,24,2941,38.0,33175.0,38,33175,14500,9560,75886.0,71,75886,65,,484,,140,,,,
2024-04-08,mohtel,24,2941,32.0,33207.0,32,33207,14520,9568,75933.0,47,75933,65,485.0,485,140.0,140,,,,
2024-04-09,mohtel,24,2948,153.0,33360.0,153,33360,14520,9568,75993.0,60,75993,65,,485,,140,,,,
2024-04-10,mohtel,24,2954,122.0,33482.0,122,33482,14520,9568,76049.0,56,76049,65,,485,,140,,,,
2024-04-11,mohtel,24,2960,63.0,33545.0,63,33545,14520,9568,76094.0,45,76094,65,,485,,140,,,,
2024-04-12,mohtel,24,2968,89.0,33634.0,89,33634,14520,9568,76214.0,120,76214,65,,485,,140,,,,
2024-04-13,mohtel,24,2973,52.0,33686.0,52,33686,14560,9582,76309.0,95,76309,66,485.0,485,140.0,140,,,,
2024-04-14,mohtel,24,2977,43.0,33729.0,43,33729,14560,9582,76371.0,62,76371,66,,485,,140,,,,
2024-04-15,mohtel,24,2984,68.0,33797.0,68,33797,14560,9582,76465.0,94,76465,66,,485,,140,,,,
2024-04-16,mohtel,24,2989,46.0,33843.0,46,33843,14560,9582,76575.0,110,76575,66,,485,,140,,,,
2024-04-17,mohtel,24,2995,56.0,33899.0,56,33899,14560,9582,76664.0,89,76664,66,,485,,140,,,,
2024-04-18,mohtel,24,3002,71.0,33970.0,71,33970,14685,9670,76770.0,106,76770,66,485.0,485,140.0,140,,,,
2024-04-19,mohtel,24,3006,42.0,34012.0,42,34012,14685,9670,76833.0,63,76833,66,,485,,140,,,,
2024-04-20,mohtel,24,3010,37.0,34049.0,37,34049,14685,9670,76901.0,68,76901,66,,485,,140,,,,
2024-04-21,mohtel,24,3015,48.0,34097.0,48,34097,14685,9670,76980.0,79,76980,66,,485,,140,,,,
2024-04-22,mohtel,24,3021,54.0,34151.0,54,34151,14685,9670,77084.0,104,77084,66,,485,,140,,,,
2024-04-23,mohtel,24,3025,32.0,34183.0,32,34183,14778,9752,77143.0,59,77143,67,485.0,485,140.0,140,,,,
2024-04-24,mohtel,24,3031,79.0,34262.0,79,34262,14778,9752,77229.0,86,77229,67,,485,,140,,,,
2024-04-25,mohtel,24,3036,43.0,34305.0,43,34305,14778,9752,77293.0,64,77293,67,,485,141.0,141,,,,
2024-04-26,mohtel,24,3041,51.0,34356.0,51,34356,14778,9752,77368.0,75,77368,67,,485,,141,,,,
2024-04-27,mohtel,24,3045,32.0,34388.0,32,34388,14778,9752,77437.0,69,77437,67,,485,,141,,,,
2024-04-28,mohtel,24,3052,66.0,34454.0,66,34454,14873,9801,77575.0,138,77575,67,491.0,491,141.0,141,,,,
2024-04-29,mohtel,24,3055,34.0,34488.0,34,34488,14873,9801,77643.0,68,77643,67,,491,,141,,,,
2024-04-30,mohtel,24,3060,47.0,34535.0,47,34535,14873,9801,77704.0,61,77704,67,,491,,141,,,,
2024-05-01,mohtel,24,3064,33.0,34568.0,33,34568,14873,9801,77765.0,61,77765,67,,491,,141,,,,
2024-05-02,mohtel,24,3067,28.0,34596.0,28,34596,14873,9801,77816.0,51,77816,67,,491,,141,,,,
2024-05-03,mohtel,24,3070,26.0,34622.0,26,34622,14944,9849,77867.0,51,77867,68,492.0,492,141.0,141,,,,
2024-05-04,mohtel,24,3073,32.0,34654.0,32,34654,14944,9849,77908.0,41,77908,68,,492,,141,,,,
2024-05-05,mohtel,24,3076,29.0,34683.0,29,34683,14944,9849,78018.0,110,78018,68,,492,,141,,,,
2024-05-06,mohtel,24,3081,52.0,34735.0,52,34735,14944,9849,78108.0,90,78108,68,,492,142.0,142,,,,
2024-05-07,mohtel,24,3087,54.0,34789.0,54,34789,14944,9849,78204.0,96,78204,68,,492,,142,,,,
2024-05-08,mohtel,24,3094,55.0,34844.0,55,34844,15002,9893,78404.0,200,78404,68,492.0,492,142.0,142,,,,
2024-05-09,mohtel,24,3098,60.0,34904.0,60,34904,15002,9893,78514.0,110,78514,68,,492,,142,,,,
2024-05-10,mohtel,24,3104,39.0,34943.0,39,34943,15002,9893,78572.0,58,78572,68,,492,,142,,,,
2024-05-11,mohtel,24,3108,28.0,34971.0,28,34971,15002,9893,78641.0,69,78641,68,,492,143.0,143,,,,
2024-05-12,mohtel,24,3116,63.0,35034.0,63,35034,15002,9893,78755.0,114,78755,68,,492,,143,,,,
2024-05-13,mohtel,24,3123,57.0,35091.0,57,35091,15103,9961,78827.0,72,78827,69,492.0,492,143.0,143,,,,
2024-05-14,mohtel,24,3131,82.0,35173.0,82,35173,15103,9961,79061.0,234,79061,69,,492,,143,,,,
2024-05-15,mohtel,24,3136,60.0,35233.0,60,35233,15103,9961,79141.0,80,79141,69,,492,,143,,,,
2024-05-16,mohtel,24,3140,39.0,35272.0,39,35272,15103,9961,79205.0,64,79205,69,,492,147.0,147,,,,
2024-05-17,mohtel,24,3144,31.0,35303.0,31,35303,15103,9961,79261.0,56,79261,69,,492,,147,,,,
2024-05-18,mohtel,24,3153,83.0,35386.0,83,35386,15162,10018,79366.0,105,79366,69,492.0,492,147.0,147,,,,
2024-05-19,mohtel,24,3161,70.0,35456.0,70,35456,15162,10018,79476.0,110,79476,69,,492,,147,,,,
